"","name","data","NC","props","valueType","aggregationType","model","command","path"
"139","simtestis_NC400_db10_counts_None_MMvst","simtestis","NC400","db10","counts","None","MMvst","apply_MM_vst(simtestis_NC400_db10_counts_None)","dataOutput/modelResults/simtestis_NC400_db10_counts_None_MMvst.rds"
"140","simtestis_NC400_db10_counts_None_MMdream2","simtestis","NC400","db10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC400_db10_counts_None)","dataOutput/modelResults/simtestis_NC400_db10_counts_None_MMdream2.rds"
"141","simtestis_NC400_db10_logcounts_Mean_limmaTrend","simtestis","NC400","db10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_db10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC400_db10_logcounts_Mean_limmaTrend.rds"
"142","simtestis_NC400_db10_vstresiduals_Mean_limmaTrend","simtestis","NC400","db10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_db10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC400_db10_vstresiduals_Mean_limmaTrend.rds"
"143","simtestis_NC400_db10_logcounts_None_scDD","simtestis","NC400","db10","logcounts","None","scDD","apply_scdd(simtestis_NC400_db10_logcounts_None)","dataOutput/modelResults/simtestis_NC400_db10_logcounts_None_scDD.rds"
"144","simtestis_NC400_db10_cpm_Sum_edgeR","simtestis","NC400","db10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC400_db10_cpm_Sum)","dataOutput/modelResults/simtestis_NC400_db10_cpm_Sum_edgeR.rds"
"145","simtestis_NC20_de10_counts_Sum_DESeq2","simtestis","NC20","de10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC20_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC20_de10_counts_Sum_DESeq2.rds"
"146","simtestis_NC20_de10_counts_Sum_limmaVoom","simtestis","NC20","de10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC20_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC20_de10_counts_Sum_limmaVoom.rds"
"147","simtestis_NC20_de10_counts_Sum_edgeR","simtestis","NC20","de10","counts","Sum","edgeR","apply_edgeR(simtestis_NC20_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC20_de10_counts_Sum_edgeR.rds"
"148","simtestis_NC20_de10_vstresiduals_Mean_limmaTrend","simtestis","NC20","de10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC20_de10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC20_de10_vstresiduals_Mean_limmaTrend.rds"
"149","simtestis_NC20_de10_logcounts_Mean_limmaTrend","simtestis","NC20","de10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC20_de10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC20_de10_logcounts_Mean_limmaTrend.rds"
